ID,Start time,Completion time,Gender,Date of Birth,Ethnic Group,Religion,Guardian,Accommodation,Types of Residence,Travel time to campus or university,Nearest Town ,District,Province,Sponsorship of Education,Marital Status,Birth Place,Employment,Current Health Status,How do you come to campus or university?,Travel Distance to campus or University(m),Internet Usage,Major Speaking Language (Mother Tongue),Romantic Relationship ,Alcohol Usage,Cigarette Usage,Family Size,Number of Siblings,Family Income,Father Education,Mother Education,Father's Occupation,Mother's Occupation,Is your father still alive or not?,Is your mother still alive or not?,Study time per day,Do you use ChatGPT for learning?,Do you use YouTube for learning?,Do you have interest in research?,What is your interesting area of research?,Do you have a LinkedIn account?,Do you have student membership of any professional body? ,What is your career path?,"Do you want to migrate to another country?
",Where do you intend to do postgraduate? ,Last School Attended,District2,A/L Streams,Year of A/L,Z-Score,O/L English,O/L Maths,Do you participate in any student society activities in campus/university?,Do you participate in any athletic or sporting activities in campus/university?,Do you register in any student group (online) in campus/university?,Do you use GYM?,Do you use a swimming pool?,Do you practice meditation or yoga?,Do you listen to music?,"Do you watch movies, teledramas, or TV series?",Lab Facilities,Internet Access Facilities,Administrative Service of Students,Communication with Lecturers and Students,Subject Content,Quality of Lecturing and Practical,Environmental Condition,Opportunities for Professional Development,Advising and Mentoring Services,I ask questions during lecture,I respond to questions during lecture.,I prepare study schedule and study plan.,I ask for and seek help from lecturers.,I make additional lecture notes.,I plan my time for assignments.,I ask for help from my friends if I face problems or confusion with regards to any particular topic,I give my best during assignments.,I involve myself in academic discussions with friends.,I can explain subject-related contents to my friends.,I try to answer questions well the first time.,I always meet assignment deadlines.,I try to meet the deadlines of group assignments.,I pay attention during each lecture.,I pay attention during each lecture.2,I feel nervous whenever I am doing a presentation.,I would volunteer myself to present during any group assignment.,I am confident that I can complete my studies within four years.
5,10/14/2023 6:47,10/14/2023 7:07,1,8/2/1998,1,1,0,1,1,0,Lunugala,Badulla,Uva,1,1,Mettigathenna,0,2,0,1500,0,1,1,0,0,5,2,0,0,0,1,1,1,1,0,0,1,1,Computer Vision,1,0,Lecturer,,,Bd/ sri ramakrishna college lunugala,Badulla,Art,2018,,1,1,No,No,Yes,No,No,No,No,Yes,Average,Average,Average,Average,Average,Average,Average,Average,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
6,10/14/2023 8:35,10/14/2023 8:50,0,1/25/2001,0,0,0,1,0,3,Horowpothana,Anuradhapura,North Central,0,0,Anuradhapura,0,3,3,9700,3,0,0,0,0,3,1,0,1,1,4,0,1,1,1,1,1,1,Other,1,0,Software Engineer,,,"A/Niwaththakachethiya maha vidyalaya, Anuradhapura",Anuradhapura,Physical Science,2019,,1,1,Yes,No,Yes,No,No,No,Yes,Yes,Good,Good,Good,Very Good,Very Good,Very Good,Average,Average,Average,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Agree,Strongly agree
7,10/15/2023 20:24,10/15/2023 20:34,0,3/26/1998,0,0,1,1,2,3,Veyangoda,Gampaha,Western,1,0,Colombo,0,3,0,300,4,0,0,0,0,4,1,0,2,2,2,2,1,1,0,1,1,1,Cyber Security,1,1,Information security analyst,,,"D.S.Senanayaka central colllage,Mirigama",gampaha,Technology,2017,,1,1,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Average,Very Bad,Bad,Average,Good,Good,Average,Bad,Very Bad,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
8,10/16/2023 7:59,10/16/2023 8:15,1,3/6/1997,0,0,0,1,0,0,Elpitiya,Galle,Southern,1,0,Galle mahamodara hospital,0,3,0,200,3,0,1,0,0,6,4,1,2,2,3,0,0,1,2,1,1,1,Artificial Intelligence,1,1,Network Administrator,,,g/poddiwala navodya college,galle ,Art,2017,,1,1,Yes,No,Yes,No,No,Yes,Yes,Yes,Bad,Bad,Average,Good,Average,Average,Average,Average,Average,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly agree
9,10/16/2023 11:06,10/16/2023 11:20,1,8/2/1997,1,1,0,1,2,1,Bibila,Monaragala,Uva,1,0,Bibila ,0,3,0,300,3,1,1,0,0,4,3,0,0,1,0,2,0,1,0,1,1,1,Artificial Intelligence,1,1,AI/ML Engineer,,,BD/ Sri Ramakrishna Collage Lunugala,Badulla,Art,2017,,0,1,Yes,Yes,Yes,No,No,No,Yes,No,Average,Very Bad,Average,Good,Good,Good,Average,Average,Average,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree
10,10/16/2023 14:18,10/16/2023 15:29,0,9/18/1999,0,0,1,1,1,0,Medirigiriya,Polonnaruwa,North Central,1,0,Wathupitiwala,1,4,2,2000,3,0,1,0,0,4,1,0,3,2,1,0,1,1,1,1,1,1,Cloud Computing,1,1,Network Administrator,,,PL/Divulankadawala President's Collage,Polonnnaruwa,Technology,2018,,1,1,Yes,No,Yes,No,No,No,Yes,Yes,Bad,Bad,Average,Good,Average,Good,Bad,Average,Average,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Strongly agree
11,10/16/2023 16:13,10/16/2023 16:37,0,8/19/1997,0,0,0,1,1,1,Tangalle,Hambantota,Southern,1,0,Mahamodara,1,2,2,1500,3,0,1,1,0,4,2,1,2,3,2,1,1,1,1,1,1,1,Cloud Computing,1,1,Cloud engineer,,,H/Tangalle Boys School,Hambanthota,Technology,2017,,1,1,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Average,Average,Good,Very Good,Good,Very Good,Average,Average,Average,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Strongly agree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree
13,10/17/2023 9:10,10/17/2023 9:35,1,5/23/1999,1,1,1,1,1,0,Batticaloa,Batticaloa,Eastern,1,0,Arayampathy,0,3,0,1500,3,1,0,0,0,4,1,0,1,2,0,0,1,1,1,1,1,1,Cyber Security,1,1,Software Engineer,,,BT/Arayampathy Rama Kirishna Mission Maha Vidyalaya,Batticaloa,Art,2018,,1,1,Yes,No,Yes,No,No,Yes,Yes,No,Good,Good,Good,Good,Very Good,Very Good,Good,Good,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
14,10/17/2023 9:18,10/17/2023 9:38,1,3/14/1999,1,1,1,1,0,0,Lunugala,Badulla,Uva,1,0,Diyathalava,0,3,0,1500,2,1,0,0,0,5,1,0,0,2,2,2,1,1,1,1,1,1,Cyber Security,1,1,Software Engineer,,,Bd/ Sri Ramakrishna college lunugala,Badulla,Art,2018,,1,1,Yes,Yes,Yes,No,No,No,Yes,Yes,Good,Average,Good,Very Good,Very Good,Very Good,Good,Good,Good,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree
15,10/17/2023 9:23,10/17/2023 9:38,0,6/2/1998,1,1,1,0,1,1,Akkaraipattu,Ampara,Eastern,1,0,Thambiluvil,1,4,0,1000,3,1,1,0,0,,3,0,0,2,3,0,1,1,1,1,1,1,Cyber Security,1,1,Software Engineer,,,Thambiluvil Central collage,AMPARA,Art,2017,,1,1,No,No,Yes,Yes,No,Yes,Yes,Yes,Good,Good,Average,Very Good,Good,Very Good,Good,Good,Very Good,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree
